fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
795,1,21325,USED,9.98,99.88,92,45,0,,92,100,36,50,10,,173,0,85,1,,1,25,1,100,4,115,85,13,1,0,1,1,,,,,,,,0,Male,White
645,1,22333,NEW,4.49,93.2,93,93,0,65,93,50,252,33,1,16,252,0,117,30,16,,,3,25,0,93,117,1,30,0,30,1,,,,,,,,0,Female,White
641,1,28810,USED,13.96,90.24,20,1,0,,20,89,4,,5,14,19,29,,30,,8,,0,56,0,29,,5,,0,400,1,1,2,,,,,0,0,Male,White
725,1,41060,USED,6.22,124.05,97,71,0,52,100,100,22,33,8,52,22,18,250,1,52,48,19,3,100,1,65,142,19,30,0,120,1,,,,,,,,0,Female,White
539,0,34706,NEW,11.29,130.54,98,98,2,80,160,27,48,43,2,12,48,0,142,400,,,40,2,25,0,43,69,3,400,0,400,400,16,32,2213,0,1,0,6,0,Female,White
802,1,28048,USED,5.16,103.49,40,6,0,82,82,100,8,100,14,25,36,25,22,1,,2,22,1,100,1,30,19,16,1,0,30,1,0,0,,,,,0,0,Male,White
757,1,18998,NEW,14.2,73.07,20,20,0,,20,100,86,0,11,69,170,14,236,1,,4,,1,91,0,106,109,11,400,0,400,1,,,,,,,,0,Male,Other
662,1,26898,USED,12.04,138.12,2,0,78,,85,88,44,36,7,34,59,0,94,400,,,59,4,92,0,38,92,11,400,0,400,1,3,6,,,,,0,0,Female,Hispanic
681,1,25665,NEW,11.5,90.13,,,,,,,,,,,,,46,1,,,,0,,,29,,,,0,1,1,,,,,,,,0,Male,White
813,1,21000,NEW,1.57,45.62,44,20,0,62,92,100,24,15,7,,81,14,151,1,,,,13,100,5,39,151,20,1,0,1,1,,,,,,,,0,Female,Hispanic
650,1,20597,USED,7.82,87.93,35,35,30,,205,62,154,50,4,39,111,0,164,1,59,0,,1,53,0,103,98,4,30,0,400,1,,,,,,,,0,Male,Hispanic
768,1,71037,NEW,11.54,114.75,35,12,0,51,100,93,3,100,10,,23,38,43,1,,0,,1,93,2,24,43,14,1,0,400,1,,,,,,,,0,Female,Hispanic
527,0,17214,USED,6.74,77.02,,,100,,,0,,0,2,6,,0,101,1,6,,29,3,33,,26,101,5,400,0,400,30,0,0,,,,,0,0,Male,Black
709,1,25167,NEW,8.58,129.23,41,7,0,,126,86,44,75,2,7,60,17,140,1,,0,117,0,75,0,62,,3,,0,90,60,1,1,,,,,0,0,Female,White
702,1,40950,USED,17.68,92.13,,,0,49,98,100,,100,,,,0,40,1,,,,1,100,,27,40,2,1,0,1,1,,,,,,,,0,Male,Other
842,1,21154,USED,8.73,105.77,5,3,0,,5,100,89,,4,,179,0,,1,,0,,0,100,1,165,,5,,0,1,1,,,,,,,,0,Male,Other
775,1,12722,USED,7.93,63.82,1,1,0,,1,100,47,,1,,47,0,,1,,,,0,100,0,47,,1,,0,1,1,,,,,,,,0,Male,Hispanic
663,1,16519,USED,10.04,74.18,93,93,0,,93,71,51,0,6,,50,33,97,1,,51,,2,71,0,40,97,8,1,0,400,400,,,,,,,,0,Female,White
788,1,32663,NEW,8.5,88.3,50,40,0,,72,100,28,0,9,,93,0,145,1,,,69,2,100,0,74,145,16,1,0,1,1,1,1,,,,,0,0,Male,White
617,0,28104,USED,8.75,111.41,62,42,0,,105,75,3,100,2,,15,33,37,1,,,,0,75,0,22,,2,,0,400,400,5,6,,,,,3,0,Male,Asian
582,0,19513,USED,10.74,109.01,74,74,67,,74,11,1,0,1,62,3,100,138,400,62,,138,1,11,0,18,72,1,30,0,400,400,4,6,,,,,5,0,Male,White
747,1,22927,NEW,8.71,101.81,0,0,,,0,100,18,,1,,18,0,36,1,,,,0,100,0,27,,1,,0,1,1,,,,,,,,0,Male,White
692,0,47763,USED,17.71,122.16,,,0,71,76,100,,67,,,,50,46,1,,,,3,100,,18,46,3,1,0,1,1,0,0,0,,,,0,0,Male,White
755,1,38697,NEW,12.74,113.27,30,17,0,85,85,100,1,100,8,,4,50,27,1,,11,,1,100,0,14,27,9,1,0,1,1,,,,,,,,0,Male,Asian
636,0,63412,USED,10.79,94.93,22,17,0,37,69,80,4,75,3,11,19,20,88,1,11,,21,3,80,0,26,88,5,400,0,400,400,1,2,0,,,,0,0,Female,Black
832,1,18081,USED,3.32,46.9,96,3,0,,96,100,7,0,52,,98,5,146,1,,5,,3,100,8,105,146,60,1,0,1,1,,,,,,,,0,Female,White
615,1,28757,USED,12.14,96.69,57,0,0,,57,87,4,,14,,11,55,,1,,46,,0,88,0,12,,14,,0,400,1,4,4,,,,,1,0,Male,White
658,1,13301,USED,6.94,136.42,72,33,2,89,97,64,143,13,10,40,179,8,218,1,72,32,46,7,65,1,70,172,32,400,0,400,1,0,0,,,,,0,0,Male,White
677,1,30822,USED,7.41,95.5,80,80,0,,93,100,38,50,2,,24,0,133,1,,,23,0,100,0,24,,4,,0,1,1,,,,,,,,0,Male,Hispanic
761,1,31346,NEW,10.74,73.85,49,44,0,66,113,100,84,36,5,,51,0,101,1,,,101,7,100,1,29,56,13,1,0,1,1,,,,,,,,0,Male,White
643,1,14836,USED,7.44,138.84,,,0,,107,100,,13,0,51,,0,68,60,,,,1,67,,24,49,3,1,0,120,1,0,0,,,,,0,0,Male,Hispanic
821,1,34006,NEW,5.42,136.99,40,21,0,80,96,100,20,40,5,,116,14,123,1,,,20,5,100,2,69,98,16,1,0,1,1,2,2,,,,,1,1,Male,Black
715,1,61290,NEW,13.1,100,73,43,0,80,113,100,2,100,3,,14,8,58,1,,,,1,100,0,32,18,4,1,0,1,1,,,,,,,,0,Male,White
754,1,31145,USED,6.12,81.21,84,67,0,65,90,100,10,20,22,,176,9,154,1,,0,,5,100,4,105,154,32,1,0,1,1,,,,,,,,0,Male,White
851,1,17681,USED,3.7,106.51,3,2,0,58,97,100,50,40,7,,131,13,103,1,,0,23,3,100,2,77,103,15,1,0,1,1,,,,,,,,0,Male,White
553,0,52895,USED,7.76,119.32,125,100,0,89,159,77,22,59,8,6,45,4,133,1,,105,24,1,72,0,53,14,20,1,0,400,400,2,2,,,,,2,0,Female,White
550,0,51757,NEW,5.7,96.77,97,96,29,80,97,50,20,33,4,4,23,0,154,30,14,,25,5,25,1,41,127,10,400,0,400,60,0,0,,,,,0,0,Male,Black
660,1,35760,USED,11.69,115.12,88,62,0,58,160,95,12,88,13,,29,20,141,1,,38,,2,95,1,54,49,15,1,0,1,400,,,,,,,,0,Female,White
704,1,39205,USED,9.92,115.99,100,,0,,105,100,157,38,3,46,157,33,169,1,,10,12,1,100,0,65,109,11,1,0,30,1,,,,,,,,0,Male,White
772,1,18256,USED,6.69,96.85,58,0,0,,99,100,43,,6,,131,14,,1,,33,,0,100,2,67,,8,,0,1,1,,,,,,,,0,Female,White
724,0,14231,USED,10.09,103.12,31,22,0,88,125,94,1,17,12,,44,29,201,60,,15,94,3,94,0,71,61,17,1,0,120,400,1,1,,,,,0,0,Male,White
586,0,32139,NEW,11.06,111.32,16,16,3,58,58,43,45,50,0,17,45,33,70,400,17,,,2,14,0,32,39,1,400,0,400,1,0,0,,,,,0,0,Male,Hispanic
728,1,32242,NEW,6.96,116.6,71,49,0,5,71,100,8,100,5,,29,33,56,1,,0,,1,100,0,33,56,6,1,0,400,1,,,,,,,,0,Male,White
646,0,27454,USED,3.93,134.72,61,47,0,56,100,79,14,67,7,,16,33,72,1,,20,,3,79,0,20,72,11,400,0,400,400,3,3,,,,,1,0,Male,Black
703,0,12919,USED,5.44,157.55,79,59,0,35,79,100,3,50,3,,14,50,49,1,,,49,1,100,0,19,34,5,1,0,1,1,,,,,,,,0,Undefined,White
575,1,20800,USED,10.52,119.71,,,21,95,95,40,,21,,18,,33,461,400,,,58,1,20,,90,11,7,1,0,400,400,0,0,703,,,,0,0,Male,White
724,1,24153,NEW,9.73,76.26,3,,0,,113,100,238,44,1,,238,20,58,1,,,,0,100,1,54,,1,,0,1,1,,,,,,,,0,Female,White
764,1,40048,NEW,8.99,92.51,14,7,0,,87,100,38,67,4,27,70,14,160,30,,,10,0,100,0,77,,5,,0,30,1,,,,,,,,0,Female,White
699,1,19409,USED,9.63,118.53,97,25,0,,97,100,1,,8,52,23,17,,30,,9,,0,100,0,26,,8,,0,30,1,,,,,,,,0,Male,White
701,1,34001,NEW,3.57,78.94,101,92,0,46,101,100,29,25,7,,55,10,69,1,,,,8,100,4,35,69,17,1,0,1,1,,,,,,,,0,Male,White
686,1,12960,USED,5.07,90.61,52,45,0,,52,80,68,,5,6,67,0,,30,,38,,0,80,0,135,,5,,0,400,30,4,4,,,,,0,,Male,White
652,0,45794,NEW,16.27,112.08,85,75,0,76,96,58,23,31,5,,35,11,188,1,,29,3,3,60,0,27,64,17,1,0,400,1,,,,,,,,0,Female,White
794,1,7301,USED,3.54,66.9,33,2,0,,33,100,7,0,17,,57,11,73,1,,0,,1,100,5,47,73,18,1,0,1,1,0,0,,,,,0,0,Male,White
862,1,35603,NEW,2.61,68.42,17,0,0,46,73,100,186,29,9,,118,0,147,1,,17,140,5,100,1,57,105,21,1,0,1,1,,,,,,,,0,Male,White
749,1,17523,USED,4.11,110.97,83,32,0,,83,100,18,50,12,,90,0,103,1,,18,20,4,100,2,69,103,18,1,0,400,1,,,,,,,,0,Male,Hispanic
523,0,23005,USED,10.55,74.21,102,100,5,14,102,33,7,100,0,1,42,20,70,90,,81,,1,29,0,39,70,1,1,1,400,60,,,,,,,,0,Male,White
808,1,14762,USED,1.93,92.29,47,26,0,,47,100,9,25,4,,124,25,121,1,,,,4,100,2,82,121,8,1,0,1,1,0,0,,,,,0,0,Female,Other
666,1,25317,NEW,12.9,102.44,97,61,0,90,97,100,26,67,4,35,31,14,25,400,,16,25,2,89,0,21,17,7,1,0,400,1,4,5,,,,,1,0,Female,Hispanic
727,1,22499,USED,12.39,119.36,18,14,0,,18,100,21,,2,,25,0,,1,,,,0,100,0,25,,2,,0,1,1,,,,,,,,0,Male,White
585,1,35898,NEW,10.71,120.99,98,71,9,,115,87,18,33,7,17,64,18,238,30,23,55,6,2,75,1,57,139,9,400,0,400,120,1,1,15839,,,0,0,0,Undefined,Black
633,0,9397,USED,8.28,122.25,,,0,65,93,100,,40,,,,50,19,1,,,3,3,100,,7,17,5,1,0,1,1,3,7,0,,,,1,0,Female,Hispanic
650,1,34113,NEW,8.63,115.95,109,,0,78,109,100,,29,3,20,,29,169,1,20,51,25,3,75,,74,92,11,30,0,60,1,,,,,,,,0,Male,Hispanic
795,1,34167,NEW,3.14,52.12,33,,0,1,33,100,122,25,5,,87,50,135,1,,,,4,100,1,72,135,9,1,0,1,1,,,,,,,,0,Male,Hispanic
624,1,34202,USED,12.46,134.92,91,91,0,57,94,100,66,13,1,16,66,0,64,30,14,73,42,3,60,0,22,49,7,60,0,60,1,0,0,2796,,,,0,0,Male,White
645,1,34105.19,NEW,13.83,106.71,54,54,0,,54,75,21,,13,,22,25,33,1,,8,,0,76,0,17,,13,,0,1,400,0,0,,,,,0,0,Male,Hispanic
844,1,34972,NEW,11.65,92.26,56,1,0,32,98,100,22,67,22,,68,8,111,1,,45,,3,100,5,53,111,27,1,0,1,1,,,,,,,,0,Male,White
668,1,18700,USED,7.03,103.14,,,0,95,95,100,,100,,,,0,14,1,,,,1,100,,14,14,1,1,0,1,1,0,0,,,,,0,,Male,Black
666,0,34970,NEW,12.36,131.18,58,58,0,63,86,86,24,20,4,31,37,40,114,60,46,0,2,5,78,1,19,93,11,400,0,400,1,0,0,,,,,0,0,Male,White
664,1,25249,NEW,10.83,110.14,99,77,0,,99,100,33,20,19,44,244,7,138,1,,0,138,4,100,5,157,98,25,1,0,30,1,,,,,,,,0,Male,White
826,1,32995,USED,12.21,111.09,0,0,0,,53,100,107,22,8,,168,25,133,1,,0,59,2,100,1,59,123,15,1,0,1,1,,,,,,,,0,Undefined,Hispanic
720,0,23363,USED,15.53,94.59,49,43,0,,122,100,7,88,4,,30,7,82,1,,0,,0,100,0,42,,4,,0,1,1,,,,,,,,0,Female,White
796,1,13760,USED,3.33,100.07,0,0,0,,129,100,82,60,4,,79,0,68,1,,,,2,100,1,52,54,6,1,0,1,1,,,,,,,,0,Female,Hispanic
737,1,18409,USED,15.33,126.96,73,17,0,,87,92,51,0,15,,73,10,141,120,63,10,87,3,94,1,63,141,20,120,0,400,1,,,,,,,,0,Male,Black
760,1,36572,USED,17.22,267.93,4,3,0,,4,100,18,,7,,23,0,,1,,0,,0,100,0,24,,7,,0,1,1,,,,,,,,0,Female,White
657,1,45210,NEW,14.23,109.41,100,100,0,95,107,100,43,100,1,,43,17,37,1,,,,1,100,0,30,9,2,1,0,1,1,,,,,,,,1,Male,White
677,0,22853,NEW,11.45,105.62,0,,,,0,100,,,2,,,50,,1,,0,,0,100,,13,,2,,0,1,1,1,1,,,,,0,0,Male,White
617,1,24448,USED,12.04,124.89,100,91,6,75,100,94,6,11,21,27,52,27,160,400,,8,31,7,95,1,36,160,32,400,0,400,1,,,,,,,,0,Undefined,White
797,0,27331,USED,12.18,152.67,5,2,0,,5,100,2,,4,,29,33,,1,,,,0,100,1,22,,4,,0,1,1,0,0,,,,,0,0,Male,Other
679,1,19918,USED,9.62,108.2,98,29,0,,98,100,2,20,11,34,29,25,74,1,,0,22,1,100,0,23,74,16,1,0,400,1,0,0,,,,,0,0,Female,Black
645,1,32965,USED,7.2,90.77,,,0,,94,71,,8,3,9,,33,126,400,,,7,1,78,,14,117,27,1,0,400,30,7,8,,,,,1,0,Male,White
725,1,51962,NEW,13.49,108.35,11,4,0,89,89,80,14,50,3,5,18,0,22,1,,,,2,83,0,16,22,5,1,0,30,30,1,1,1334,,,,0,1,Female,Hispanic
647,0,31496,USED,17.35,109.74,102,,0,82,102,75,,33,3,,,67,150,1,,82,150,2,75,,14,56,6,1,0,400,1,1,1,,,,,0,0,Female,White
723,0,12422,USED,6.96,61.71,46,0,0,,46,100,24,0,9,21,71,14,174,60,49,38,,2,91,1,55,174,10,30,0,120,1,,,,,,,,0,Male,Hispanic
640,1,32961,NEW,15.72,128.4,103,50,0,,103,100,15,33,9,,20,0,50,1,,71,39,0,100,0,25,,12,,0,1,1,0,0,,,,,0,0,Female,White
619,1,33027,USED,10.63,105.77,106,97,0,80,106,88,33,30,4,1,23,14,48,30,,75,16,8,91,0,14,48,14,1,1,30,30,0,1,8318,0,,0,0,0,Female,White
519,0,30687,USED,7.02,118.09,42,42,5,100,126,74,7,24,5,39,13,75,146,400,,,2,6,77,0,13,109,22,400,0,400,400,19,37,,,,,3,1,Female,Black
678,1,32024,USED,9.22,105.69,60,47,0,90,90,88,6,5,11,30,42,71,174,400,,40,4,5,30,0,37,174,32,1,0,400,1,0,0,0,,,,0,0,Female,Hispanic
766,1,32064,USED,6.76,92.4,49,,0,,100,100,223,50,6,,225,25,117,1,,0,2,1,100,1,150,117,10,1,0,1,1,,,,,,,,0,Male,White
659,0,62474,NEW,17.42,120.78,111,86,0,73,111,95,2,71,14,,48,22,132,1,,1,16,4,95,0,37,65,21,1,0,400,400,5,5,0,,,,2,0,Male,White
778,1,42246,NEW,6.58,78.48,81,24,0,,97,100,4,0,11,,85,10,179,1,,,40,2,100,5,52,179,19,1,0,1,1,,,,,,,,0,Female,Other
772,1,14989,NEW,3.98,46.39,29,27,0,,98,100,98,0,3,76,108,0,142,1,,8,129,0,100,1,62,,7,,0,30,1,,,,,,,,0,Female,Other
507,0,22410,USED,16.86,85.24,,,1,95,112,78,40,100,0,2,36,14,57,1,,,,1,78,0,40,6,1,1,0,400,90,0,0,,,,,0,0,Female,White
689,1,52674,NEW,7.41,97.37,0,0,0,,123,93,6,100,6,3,20,25,80,1,,0,,0,93,1,42,,6,,0,120,30,0,0,,,,,0,0,Male,Asian
744,0,57765,USED,9.5,168.89,98,0,0,77,99,100,6,27,17,18,78,15,164,60,,41,20,7,95,1,60,164,27,1,0,400,1,,,,,,,,0,Male,White
671,1,25463,USED,14.94,115.85,80,64,0,57,100,100,2,67,13,,14,56,49,1,,36,,2,100,0,15,49,15,1,0,1,1,3,10,,,,,0,0,Female,Black
795,1,8000,USED,8.28,30.53,8,8,0,,8,100,16,0,3,,16,0,80,1,,0,,2,100,1,42,63,5,1,0,1,1,,,,,,,,0,Male,White
679,1,18125,USED,15.22,107.93,98,98,0,,98,100,63,0,1,,63,0,61,1,,,,1,100,0,36,61,2,1,0,1,1,,,,,,,,0,Male,White
731,1,40610,USED,9.25,147.67,108,72,0,63,108,100,31,22,14,,76,0,131,1,,64,23,5,100,0,51,101,24,1,0,1,1,,,,,,,,0,Male,White
850,1,60260,NEW,0.94,100.87,15,11,0,94,97,100,64,25,6,,61,20,166,1,,,130,3,100,2,48,166,12,1,0,1,1,,,,,,,,0,Male,White
639,1,12237,USED,5.13,155.89,49,49,0,,89,83,69,17,4,21,41,33,166,30,21,,11,2,67,0,36,166,9,60,0,400,1,0,0,27040,0,,0,0,0,Female,White
753,1,27097,USED,6.35,85.75,66,29,0,,99,100,22,50,6,,41,25,80,1,,26,,1,100,2,38,45,8,1,0,1,1,,,,,,,,0,Female,Other
568,0,22813,USED,7.27,65.27,85,56,27,83,85,33,6,33,4,,26,25,93,1,,,,3,33,0,31,93,5,400,0,400,1,0,0,,,,,0,0,Male,Asian
802,1,19677,NEW,3.65,58.67,9,9,0,,9,100,42,0,1,,42,0,58,1,,,,1,100,1,46,58,2,1,0,1,1,,,,,,,,0,Male,Hispanic
695,1,26096,USED,14.33,130.55,47,47,0,41,115,67,5,50,1,23,5,25,188,120,,,,1,57,0,50,39,2,1,0,400,400,0,0,0,,,,0,1,Male,White
612,1,23024,USED,9.04,107.85,,,0,41,41,50,,25,,6,,0,86,1,6,,21,2,50,,18,86,3,30,0,30,30,0,0,,,,,0,0,Female,Hispanic
728,1,24733,NEW,8.82,91.63,73,56,0,70,73,100,8,100,4,,8,100,12,1,,21,,1,100,0,7,12,5,1,0,1,1,1,1,,,,,0,0,Male,Hispanic
669,1,50790,NEW,13.96,112.03,28,28,0,25,89,40,3,25,3,6,57,33,175,1,6,,135,2,40,0,64,116,8,30,0,400,30,,,,,,,,0,Female,White
623,0,36227,NEW,6.65,147.9,102,83,0,61,103,97,12,31,32,,39,34,135,400,,90,22,9,95,0,27,135,45,400,0,400,1,0,0,0,,,,0,0,Male,White
763,1,24596,USED,5.81,85.55,28,23,0,,111,100,35,86,3,,52,0,82,1,,,,0,100,1,57,,3,,0,1,1,,,,,,,,0,Undefined,Hispanic
711,1,49701,NEW,16.1,101,0,,0,63,63,50,,20,1,12,68,0,83,30,12,,83,4,67,,26,83,5,30,0,30,30,,,,,,,,0,Male,White
862,1,33790,NEW,11.68,85.99,20,11,0,,51,100,17,0,36,,68,0,118,1,,2,,1,100,5,86,118,39,1,0,1,1,,,,,,,,0,Male,Hispanic
737,1,26544,USED,11.84,120.65,89,71,0,57,98,100,6,89,6,,29,8,93,1,,0,,2,100,0,45,60,10,1,0,1,1,,,,,,,,0,Male,White
740,0,18964,USED,6.34,107.03,25,11,0,,25,100,8,,3,,14,50,,1,,,,0,100,0,10,,3,,0,1,1,,,,,,,,0,Male,White
697,1,23177,USED,8.01,109.71,98,75,0,60,98,89,24,100,6,4,106,29,46,30,,79,,2,89,1,67,46,10,1,0,30,30,,,,,,,,0,Female,White
697,1,32319,USED,14.86,90.68,61,40,0,,90,100,20,100,3,16,26,20,10,30,,1,10,0,67,0,26,,4,,0,30,1,0,0,,,,,0,0,Female,Hispanic
641,0,30639,NEW,10.12,98.35,0,0,25,84,84,50,6,7,2,,3,33,109,1,,,35,6,57,0,11,103,14,400,0,400,1,3,4,0,,,,0,0,Female,Black
648,1,28326,NEW,4.89,100.59,92,63,0,,92,100,17,18,15,65,52,6,143,1,65,54,21,3,100,3,38,143,25,30,0,30,1,0,0,0,,,0,0,0,Female,Hispanic
862,1,19712,USED,4.72,103.77,46,4,0,25,67,100,68,25,10,,92,0,193,1,,24,,4,100,3,113,193,15,1,0,1,1,,,,,,,,0,Male,Black
615,0,27884,NEW,11.03,99.87,13,13,2,,100,29,103,0,1,62,103,50,224,1,,,86,2,29,0,54,100,17,400,0,400,400,0,0,,,,,0,0,Male,White
610,1,55729,USED,9.83,103.23,,,0,,87,50,66,9,0,,37,50,120,1,,,4,0,67,0,14,,12,,0,400,1,,,,,,,,0,Male,Hispanic
649,0,52753,NEW,14.26,89.03,43,43,0,34,128,100,3,29,6,20,50,0,135,120,20,,,4,80,0,68,104,8,400,0,400,1,,,,,,,,0,Male,White
560,0,37549,NEW,18.54,72.8,0,,100,,0,20,36,0,2,,33,0,89,1,,0,,2,20,0,70,89,3,400,0,400,400,,,,,,,,0,Male,White
638,1,52580,NEW,11.96,116.27,101,101,0,90,200,100,35,28,21,31,29,35,194,400,,65,4,16,97,1,31,194,58,1,0,400,1,2,2,2423,0,,0,1,0,Male,Hispanic
695,1,31891,USED,9.2,69.33,87,68,0,80,97,100,6,67,4,17,17,57,69,30,,0,3,2,78,0,20,28,7,1,0,30,1,,,,,,,,0,Female,White
703,0,27980,USED,14.7,93.27,27,8,0,,60,93,7,14,10,51,19,0,110,30,,27,15,1,93,0,20,89,15,400,0,400,1,1,1,,,,,1,0,Male,Other
708,1,55715,USED,6.69,108.18,90,90,0,81,97,100,8,14,9,,32,33,132,1,,13,20,12,100,2,25,132,37,1,0,1,1,,,,,,,,0,Female,White
738,1,27376,NEW,3.98,102.8,69,51,0,84,84,100,3,20,27,,112,7,178,1,,26,100,3,100,6,108,91,34,1,0,1,1,,,,,,,,0,Male,Hispanic
774,1,17891,USED,10.81,124.68,0,0,0,93,93,80,32,20,4,,26,33,176,1,,,34,2,83,0,72,29,9,1,0,1,1,0,0,,,,,0,0,Male,White
596,0,20230,NEW,8.04,108.61,,,0,,90,70,,15,,,,100,42,1,,,2,0,77,,5,,13,,0,1,1,,,,,,,,0,Male,Hispanic
714,1,41736,NEW,12.64,87.69,84,84,0,84,87,67,9,18,6,,8,50,195,1,,39,61,6,69,1,32,82,18,1,0,1,400,0,0,,,,,0,0,Undefined,Hispanic
688,1,16423,USED,5.31,62.75,104,100,0,,104,100,79,0,10,,83,0,173,1,,0,108,3,100,2,79,98,16,1,0,1,1,,,,,,,,0,Male,White
859,1,26100,USED,6.64,133.67,5,3,0,,75,100,299,,3,,366,0,,1,,,,0,100,2,316,,4,,0,1,1,,,,,,,,0,Male,Black
712,1,40693,NEW,11.96,126.47,98,0,0,83,104,93,78,25,2,36,78,22,121,1,,24,6,7,93,0,29,121,18,400,0,400,1,3,9,,,,,8,0,Male,Other
733,1,11656,USED,3.8,125,12,12,0,,12,100,25,,2,,21,0,58,1,,,,0,100,1,30,,2,,0,1,1,,,,,,,,0,Male,White
667,0,46055,NEW,13.71,129.04,47,40,0,97,125,57,3,4,5,,11,75,154,400,,,19,7,68,0,11,94,57,400,0,400,400,1,1,0,,,,0,0,Male,White
660,1,35773,USED,8.08,105.53,60,24,19,52,60,73,73,13,12,47,66,17,125,1,,0,23,5,82,1,48,125,20,1,0,400,400,,,,,,,,0,Female,White
629,1,33292,NEW,13.61,133.06,90,52,0,95,95,87,2,20,7,,28,60,119,1,,90,3,5,89,0,15,119,21,400,0,400,1,2,2,997,,,,0,0,Male,White
616,1,26984,NEW,3.86,110.6,97,73,3,,100,58,16,14,2,24,54,40,93,1,,,,0,53,0,61,,3,,0,400,1,,,,,,,,0,Female,White
756,0,10040,USED,1.08,102.63,32,16,0,80,98,100,11,29,6,,43,25,98,1,,0,,7,90,3,29,98,14,1,0,400,1,,,,,,,,0,Male,White
854,1,70554,NEW,16.18,119.54,28,9,0,43,131,100,44,80,18,,167,0,101,1,,0,,2,100,3,114,53,22,1,0,1,1,0,0,,,,,0,0,Male,White
611,0,50915,NEW,6.39,78.14,98,89,0,87,98,94,6,60,14,1,20,46,42,30,,36,12,4,95,0,22,42,18,1,1,120,30,0,0,,,,,0,0,Male,Hispanic
762,0,22782,USED,15.04,99.06,3,,0,,3,100,,,1,,7,100,,1,,,,0,100,,7,,1,,0,1,1,,,,,,,,0,Male,Hispanic
806,1,27995,USED,9.41,117.5,32,14,0,,32,100,51,50,12,77,80,0,81,1,,,37,1,100,4,70,81,17,1,0,60,1,,,,,,,,0,Male,Asian
747,1,44396,NEW,9.77,129.45,66,36,0,90,91,100,22,100,4,,29,20,15,1,,51,,2,100,0,22,15,6,1,0,1,1,1,1,,,,,0,0,Female,White
715,1,24080,USED,6.83,121.07,74,58,0,36,97,94,32,100,26,,46,7,52,1,,26,3,2,95,2,45,49,35,1,0,1,400,,,,,,,,0,Female,Other
606,1,26121,USED,9.84,108.61,71,66,98,,71,67,10,0,3,78,18,50,178,1,78,,,1,67,0,64,154,3,60,0,400,1,,,,,,,,,Male,White
844,1,7826,USED,1.92,94.57,5,4,0,75,98,100,36,50,8,,104,14,129,1,,0,75,3,100,2,70,95,13,1,0,1,1,,,,,,,,0,Male,Other
716,0,32540,NEW,1.05,80.81,66,52,0,77,98,100,2,68,6,,53,63,63,1,,3,,19,100,1,20,63,25,1,0,1,1,0,0,,,,,0,0,Female,Hispanic
855,1,21500,USED,14.13,135.22,4,4,0,,4,100,109,0,7,,89,25,130,1,,0,108,0,100,1,81,,12,,0,1,1,,,,,,,,0,Male,Black
724,1,39816,USED,7.05,107.61,0,0,0,49,98,100,10,25,3,,55,20,136,1,,,,4,100,0,43,136,7,400,0,400,1,0,0,,,,,0,0,Male,White
677,1,49775,NEW,12.83,116.38,76,0,0,,76,80,60,50,4,31,35,17,70,400,,,68,1,75,0,41,70,5,1,0,400,1,3,3,,,,,0,0,Female,Hispanic
658,0,14732,USED,4.25,52.38,101,88,0,100,104,100,16,25,12,20,54,11,135,30,,29,79,3,91,1,43,70,17,1,0,120,1,,,,,,,,0,Female,Hispanic
843,1,28432,NEW,8.71,69.98,4,4,0,,4,100,54,0,8,,297,0,68,1,,,,1,100,1,193,68,10,1,0,1,1,,,,,,,,0,Female,White
677,1,32948,USED,5.84,103.86,0,,0,,94,80,,33,3,38,,33,104,1,,0,15,2,80,,88,104,6,1,0,400,1,0,0,0,,,,0,0,Undefined,White
662,0,60774,USED,16.66,82.38,54,33,0,,142,67,5,22,4,,22,50,139,1,,,93,2,70,1,40,83,9,400,0,400,1,,,,,,,,0,Female,White
724,1,19382,USED,15.02,113.35,19,12,0,,102,100,10,100,2,,12,20,22,1,,,,0,100,0,17,,2,,0,1,1,,,,,,,,0,Male,Hispanic
843,1,30800,USED,5.64,63.41,1,1,0,,1,100,256,0,2,,256,0,159,1,,,,3,100,1,93,159,6,1,0,1,1,,,,,,,,0,Female,White
772,1,20191,USED,6.93,84.48,0,0,,,0,100,41,,2,,41,0,,1,,,,0,100,0,21,,2,,0,1,1,,,,,,,,0,Female,White
614,1,38874,NEW,14.51,113.51,96,94,0,62,118,73,11,100,2,,13,13,77,1,,,,1,27,0,55,50,3,1,0,120,120,0,0,,,,,0,0,Female,White
696,1,23135,USED,6.91,107.6,81,81,0,86,86,100,17,33,5,48,74,20,110,1,48,,,4,100,0,65,110,9,30,0,400,1,,,,,,,,0,Female,Hispanic
